"n_adcirc","station_id","lon","lat"
75,"13",-92.475105,29.509872
75,"14",-91.831634,29.428012
75,"15",-91.128285,29.155146
75,"16",-90.402808,29.208733
75,"18",-89.103282,29.10959
75,"2",-97.374908,25.26194
75,"21",-89.188313,30.29696
75,"23",-88.054639,30.243015
75,"26",-87.007176,30.343979
75,"29",-85.810354,30.155101
75,"3",-97.05,25.890136
75,"32",-85.053933,29.530221
75,"33",-84.300462,30.019891
75,"34",-83.664962,29.885109
75,"35",-83.205983,29.362127
75,"36",-82.759116,28.882974
75,"37",-82.841436,28.27148
75,"39",-82.538461,27.235718
75,"4",-97.262717,26.539069
75,"40",-82.255488,26.648173
75,"41",-81.833361,26.150396
75,"42",-81.328353,25.625017
75,"44",-80.300302,25.387499
75,"45",-80.083682,26.01917
75,"46",-79.996198,26.656553
75,"47",-80.209359,27.297137
75,"48",-80.440921,27.917113
75,"49",-80.533599,28.518711
75,"5",-97.332384,27.178669
75,"50",-80.938394,29.144342
75,"51",-81.233104,29.74479
75,"52",-81.377195,30.387118
75,"53",-81.395941,30.97451
75,"54",-81.108494,31.611894
75,"55",-80.768085,32.112539
75,"56",-80.165169,32.556119
75,"57",-79.549504,32.946669
75,"58",-79.082938,33.456355
75,"59",-78.493739,33.849644
75,"6",-97.07528,27.786439
75,"60",-77.830178,34.132672
75,"61",-77.269422,34.564525
75,"62",-76.512957,34.668817
75,"63",-75.951647,35.095549
75,"64",-75.463779,35.519868
75,"65",-75.696986,36.117318
75,"7",-96.536788,28.245732
75,"74",-76.292843,38.657902
75,"75",-75.949808,38.055862
75,"77",-75.784007,37.086104
75,"78",-75.27254,37.950764
75,"79",-75.041034,38.505854
75,"8",-95.89774,28.606337
75,"80",-75.43559,39.357889
75,"82",-74.449201,39.330679
75,"83",-74.051539,39.897844
75,"84",-74.145342,40.521199
75,"85",-73.646265,40.975936
75,"86",-72.93341,41.229655
75,"87",-72.161039,41.301734
75,"89",-70.909679,41.527518
75,"9",-95.232775,28.952658
75,"92",-70.622691,42.101494
75,"93",-70.5806,42.663991
75,"94",-70.560305,43.242952
75,"95",-70.081525,43.751969
75,"96",-69.379873,43.965529
75,"97",-68.84489,44.409948
75,"98",-68.009485,44.372173
75,"99",-67.323142,44.645605
100,"1",-97.616839,24.645058
100,"10",-94.669877,29.40482
100,"100",-66.740037,45.032869
100,"11",-93.973753,29.669895
100,"12",-93.206691,29.729714
100,"13",-92.475105,29.509872
